Date,Close/Last,Volume,Open,High,Low
10/13/2016,$102.15,22377940,$102.06,$102.55,$99.00
10/12/2016,$103.62,17735580,$105.05,$105.11,$101.82
10/11/2016,$105.23,14676610,$107.89,$107.97,$104.75
10/10/2016,$108.41,11505440,$106.79,$109.00,$106.56
10/07/2016,$106.00,8948099,$106.89,$107.55,$105.56
10/06/2016,$107.08,9879871,$107.30,$107.51,$106.185
10/05/2016,$106.96,13154000,$105.87,$107.45,$105.66
10/04/2016,$105.45,11065380,$105.93,$106.23,$105.05
10/03/2016,$105.38,10842050,$105.45,$106.29,$104.98
09/30/2016,$105.79,15566160,$106.50,$107.10,$105.79
09/29/2016,$105.55,30216610,$106.51,$106.69,$104.57
09/28/2016,$108.75,16287430,$108.44,$109.87,$107.16
09/27/2016,$108.26,17497870,$106.52,$108.49,$106.37
09/26/2016,$105.89,16792750,$106.52,$107.06,$105.30
09/23/2016,$107.71,23078980,$108.25,$108.40,$106.71
09/22/2016,$109.36,35615500,$107.57,$109.76,$107.48
09/21/2016,$106.00,22985350,$102.46,$106.19,$102.21
09/20/2016,$101.45,12848790,$102.94,$103.73,$100.93
09/19/2016,$103.03,15220320,$105.16,$105.50,$102.195
09/16/2016,$104.64,20361380,$104.00,$105.39,$103.86
09/15/2016,$104.45,20830280,$102.62,$104.48,$102.53
09/14/2016,$102.40,19593000,$100.08,$102.59,$100.02
09/13/2016,$100.28,19992510,$100.38,$101.49,$98.84
09/12/2016,$100.80,17305320,$97.38,$101.38,$97.00
09/09/2016,$99.62,21234170,$101.80,$102.21,$99.05
09/08/2016,$102.57,15474890,$101.93,$103.78,$101.63
09/07/2016,$102.32,15732340,$103.84,$104.00,$102.26
09/06/2016,$103.78,32771500,$100.45,$104.30,$100.45
09/02/2016,$99.25,17469950,$97.97,$99.665,$97.97
09/01/2016,$97.42,13366910,$97.30,$98.00,$97.01
08/31/2016,$97.19,28600450,$96.14,$97.20,$96.01
08/30/2016,$96.00,13983900,$95.35,$96.68,$95.17
08/29/2016,$94.88,8812224,$94.60,$95.16,$94.21
08/26/2016,$95.06,14118550,$94.15,$95.45,$94.08
08/25/2016,$93.94,13027180,$93.75,$94.69,$93.12
08/24/2016,$93.88,12702060,$95.68,$96.30,$93.56
08/23/2016,$95.79,9638938,$95.59,$96.48,$95.41
08/22/2016,$95.65,16218810,$96.47,$96.63,$94.75
08/19/2016,$96.86,14263640,$96.91,$97.24,$96.34
08/18/2016,$97.00,15006470,$97.25,$97.94,$96.62
08/17/2016,$97.00,14973660,$96.17,$97.25,$96.05
08/16/2016,$96.66,27486390,$96.15,$97.15,$95.05
08/15/2016,$97.17,33792570,$98.28,$98.86,$96.82
08/12/2016,$98.25,71918830,$92.98,$98.35,$92.91
08/11/2016,$91.77,54147300,$92.14,$92.80,$91.26
08/10/2016,$87.33,28135330,$86.01,$87.73,$86.01
08/09/2016,$85.24,15375290,$85.05,$85.63,$84.80
08/08/2016,$85.00,11514040,$84.99,$85.02,$84.30
08/05/2016,$84.59,9389329,$85.01,$85.08,$84.44
08/04/2016,$84.75,10720530,$83.75,$84.98,$83.69
08/03/2016,$83.67,5363701,$83.30,$83.84,$83.17
08/02/2016,$83.80,7682308,$84.34,$84.34,$82.91
08/01/2016,$84.34,13313720,$82.79,$84.80,$82.59
07/29/2016,$82.48,8707325,$83.37,$83.42,$81.945
07/28/2016,$83.12,7465956,$83.46,$83.49,$82.1201
07/27/2016,$83.10,11603940,$83.60,$83.64,$83.00
07/26/2016,$83.59,7708331,$82.86,$83.63,$82.63
07/25/2016,$83.19,13182970,$84.47,$84.79,$82.61
07/22/2016,$84.49,5987680,$84.00,$84.50,$83.81
07/21/2016,$84.18,10176750,$84.71,$85.00,$83.66
07/20/2016,$84.42,13980800,$83.27,$84.70,$83.23
07/19/2016,$82.77,9792308,$82.48,$83.69,$82.05
07/18/2016,$82.65,12107370,$80.60,$82.79,$80.60
07/15/2016,$81.25,8915419,$81.78,$82.49,$80.965
07/14/2016,$81.74,9356488,$81.18,$82.24,$80.86
07/13/2016,$80.57,10727800,$81.83,$81.88,$80.37
07/12/2016,$81.74,15265190,$81.79,$82.88,$81.51
07/11/2016,$81.46,17367400,$79.33,$81.90,$79.24
07/08/2016,$78.99,14011640,$78.44,$79.35,$77.80
07/07/2016,$79.35,6808656,$79.00,$79.4899,$78.71
07/06/2016,$78.64,7737637,$78.47,$78.82,$77.68
07/05/2016,$78.97,6837814,$79.04,$79.55,$78.37
07/01/2016,$79.65,7264578,$79.12,$80.05,$79.12
06/30/2016,$79.53,12483880,$78.31,$79.76,$78.28
06/29/2016,$78.04,11449960,$76.98,$78.48,$76.90
06/28/2016,$76.28,11238520,$75.50,$76.60,$75.50
06/27/2016,$74.23,15203760,$75.80,$76.29,$73.30
06/24/2016,$76.29,18148590,$76.83,$77.50,$75.43
06/23/2016,$79.14,8258057,$79.16,$79.46,$78.55
06/22/2016,$78.73,8160558,$79.04,$79.12,$78.21
06/21/2016,$78.62,8865212,$78.75,$79.08,$78.40
06/20/2016,$78.15,9603659,$77.90,$78.7899,$77.84
06/17/2016,$77.00,15547790,$78.45,$78.45,$76.48
06/16/2016,$78.27,13551820,$77.84,$78.40,$76.20
06/15/2016,$78.39,14720240,$78.31,$78.7686,$77.51
06/14/2016,$77.77,22349320,$76.89,$78.45,$76.75
06/13/2016,$75.45,11289770,$75.25,$76.455,$74.85
06/10/2016,$75.92,10419660,$76.43,$77.05,$75.76
06/09/2016,$77.56,8991859,$77.39,$78.07,$76.78
06/08/2016,$77.64,11603380,$78.00,$78.53,$77.375
06/07/2016,$77.84,12876640,$78.19,$78.37,$77.32
06/06/2016,$78.06,19155500,$77.11,$78.33,$76.70
06/03/2016,$76.62,23675020,$77.24,$77.80,$75.71
06/02/2016,$77.30,45371220,$76.65,$77.75,$76.56
06/01/2016,$76.69,62462540,$79.15,$80.14,$76.55
05/31/2016,$82.00,77980590,$81.00,$82.03,$80.20
05/27/2016,$80.97,24544870,$78.49,$81.00,$78.39
05/26/2016,$78.35,26930700,$76.99,$78.865,$76.80
05/25/2016,$75.59,49605940,$78.53,$79.20,$74.12
05/24/2016,$81.12,16675160,$79.17,$81.31,$79.07
05/23/2016,$79.00,7172888,$78.95,$79.50,$78.60
05/20/2016,$78.79,11037240,$79.07,$79.45,$78.3501
05/19/2016,$78.32,8311218,$78.65,$79.26,$77.60
05/18/2016,$79.03,9070749,$78.71,$80.00,$78.47
05/17/2016,$79.35,10970500,$79.83,$80.20,$79.31
05/16/2016,$79.29,11637290,$77.86,$79.93,$77.59
05/13/2016,$77.16,10073650,$78.825,$79.16,$76.97
05/12/2016,$79.16,8773294,$80.01,$80.45,$78.32
05/11/2016,$79.80,11059650,$79.43,$80.485,$79.41
05/10/2016,$79.72,9315502,$79.79,$79.98,$79.15
05/09/2016,$79.41,11783380,$78.94,$79.98,$78.89
05/06/2016,$79.20,12852580,$78.35,$79.72,$78.25
05/05/2016,$78.83,27940170,$79.52,$79.94,$78.10
05/04/2016,$75.82,14289990,$75.64,$75.91,$75.01
